pdes,q,e,i,om,w,tp_cal,H,epoch_mjd,a,ma,class,per_y,full_name,objId
COM,0.5022526986393274,0.3221219598252981,25.620192844408997,103.8883958451602,252.8863307139665,20190612.0126654,16.3,58600,0.7409189690078873,288.890865184463,IEO,0.637770273452931,163693 Atira (2003 CP20),00000
COM,0.3368776721434922,0.4545510259890063,2.9507560857773085,211.3738713849515,5.180662689124263,20190411.0464405,20.4,58600,0.6176153741132573,32.3954877172741,IEO,0.48538388071831395,164294 (2004 XZ130),00001
COM,0.4277915012784565,0.3721806825476488,23.33646610455234,273.4368023522737,230.4168679829891,20190629.6517368,17.6,58600,0.6813927023055071,248.4632166864371,IEO,0.5624765475090121,413563 (2005 TG45),00002
COM,0.4280335240638188,0.3050352481255341,28.264394784417487,100.9586407977603,181.8406049106155,20190625.3577958,16.4,58600,0.6159068109703729,238.9654584425675,IEO,0.48337113484600797,418265 (2008 EA32),00003
COM,0.2978335271474917,0.5311421998271614,18.94386696153363,37.0293810086579,352.99848693192484,20190404.6113756,18.4,58600,0.63523210456923,43.58457611124463,IEO,0.506298756839199,434326 (2004 JG6),00004
COM,0.4310343216369868,0.3798501081586882,24.309761369135014,81.14271190539195,183.6425223246761,20190729.7303553,18.6,58600,0.695048612130183,200.573112918481,IEO,0.5794700215503911,481817 (2008 UL90),00005
COM,0.4042667748061776,0.4160165389063018,2.0175202775843033,151.4617199625959,180.0427072782444,19980607.2882995,25.0,50868,0.6922572328487815,183.2522279435727,IEO,0.575982721236058,       (1998 DK36),00006
COM,0.6412009157907543,0.1829176141455165,24.767078121055423,311.0146333217206,318.5974658741281,20190108.8387401,18.9,58600,0.7847445091111628,153.3498597467031,IEO,0.6951853808117929,       (2006 WE4),00007
COM,0.288080346880586,0.5338725122803667,29.88657394131051,96.31512233599872,202.4843055749301,20190630.2545232,19.9,58600,0.6180290896164888,229.65499185325143,IEO,0.48587167086222,       (2010 XB11),00008
COM,0.4554169485504741,0.3613049264552085,6.675781897194488,8.7845720949097,190.53980328834731,20190220.072554898,20.2,58600,0.7130428390857719,107.91874484970431,IEO,0.602118035974711,       (2012 VE46),00009
COM,0.261893836993358,0.5641310643251591,10.76185912434431,39.955072733682755,354.8873009992952,20190311.7732935,20.1,58600,0.6008545586940642,97.82345234990451,IEO,0.465760058931151,       (2013 JX28),00010
COM,0.6533344035358137,0.1555788589701315,16.39868769736101,286.7708838357902,247.29679617930648,20190718.2618451,19.8,58600,0.7737068292001754,240.865409926235,IEO,0.6805700727311669,       (2013 TQ5),00011
COM,0.548222466383044,0.2710998911904919,19.197105749324287,358.6530612636442,347.463144189262,20190204.559856895,20.3,58600,0.7521229037521208,123.0578664306732,IEO,0.65229105557439,       (2014 FO47),00012
COM,0.3521927072726174,0.471499438039062,4.088460795375944,314.9538670471223,42.28354022944853,20190323.3879877,20.3,58600,0.6663998728134718,62.70881084864937,IEO,0.5440146066273879,       (2015 DR215),00013
COM,0.6414886242173521,0.2042248576629713,30.236743717405464,315.3518765645705,162.2739308629724,20151024.9323942,19.5,57197,0.8061179472550891,192.59341842912633,IEO,0.7237791825859742,       (2015 ME131),00014
COM,0.6464255799682462,0.2015673715029593,17.17699705754837,239.6595846099204,327.6220635013613,20190902.614556197,21.2,58600,0.8096181905605103,185.99015860247619,IEO,0.728498376591448,       (2017 XA1),00015
COM,0.32834205006240097,0.4824744543244849,19.83352506873937,134.2227791754109,147.45447160139318,20190322.174170602,18.5,58600,0.6344460728674235,69.87281767137202,IEO,0.505359311867389,       (2017 YH),00016
COM,0.4847266842841942,0.2904951786593493,40.38997243785056,106.4252629448783,355.2378060449381,20190419.813122198,17.6,58600,0.6831901203550313,12.54388218340286,IEO,0.5647036155240369,       (2018 JB3),00017
COM,0.40363945302893495,0.3143097828444873,47.21855942325384,64.48732691279989,163.1518180692169,20190303.698677897,17.6,58600,0.5886615310094043,118.4993571116886,IEO,0.45165485782905496,       (2019 AQ3),00018
COM,0.3167126709787908,0.4296302325079364,29.52480228749309,179.0637604662959,213.76367285139148,20190807.7794426,17.239,58651,0.5552760490293653,236.6616788104988,IEO,0.413782018795213,       (2019 LF6),00019
COM,0.1865882411032819,0.8269277670337161,22.82649436607058,88.00472388247528,31.38082134441564,20191025.803464897,16.9,58600,1.078094607698457,199.9259551544174,APO,1.11942116274113,  1566 Icarus (1949 MA),00020
COM,0.8275774775842434,0.3354405175288415,13.33734785429538,337.195400440087,276.9150346377486,20190704.336788397,15.6,58600,1.2453023384857949,311.53296718346434,APO,1.38969792071608,  1620 Geographos (1951 RA),00021
COM,0.7711476639728616,0.4360613823094916,9.383416688566632,274.2458433388088,127.2205979281958,20190215.114490803,14.23,58600,1.3674319150742582,43.692105055708325,APO,1.59906740222868,  1685 Toro (1948 OA),00022
COM,0.6470794599565618,0.5598233975579915,6.355123008466338,35.6305446544467,285.97075154143937,20191222.8288977,16.25,58600,1.47004510545699,227.37982559881883,APO,1.78239597555096,  1862 Apollo (1932 HA),00023
COM,0.8886581395943064,0.6065678065878067,18.40010586275719,346.4438822233002,268.06195592184633,20191003.604458604,15.54,58600,2.2587326468814717,313.66044598254365,APO,3.39473162163651,  1863 Antinous (1948 EA),00024
COM,0.5634304276279906,0.6143760905671654,22.208725069881112,6.633243736292252,325.6260410545419,20190430.6168709,14.85,58600,1.461087898975634,357.9815287534807,APO,1.7661302049529901,  1864 Daedalus (1971 FA),00025
